汉字,漢越語,IPA
牡,Mẫu,mɤw4
牢,Lao,la:w1
牣,Nhận,ɲɤn6
狁,Duẫn,zuɤn4
狂,Cuồng,kuoŋ2
狃,Nữu,nɯw4
狄,Địch,diʧ8
玕,Can,ka:n1
玖,Cửu,kɯw3
甫,Phủ,fu3
甬,Dũng,zuŋ4
男,Nam,na:m1
甸,Điện,dien6
町,Đinh,diɲ1
疓,Đinh,diɲ1
皁,Tạo,ta:w6
盯,Trành,tʂa:ɲ2
盯,Đinh,diɲ1
矣,Hĩ,hi4
社,Xã,sa:4
礿,Dược,zɯɤk8
祀,Tự,tɯ6
禿,Ngốc,ŋok7
秀,Tú,tu5
私,Tư,tɯ1
究,Cứu,kɯw5
穷,Cùng,kuŋ2
系,Hệ,he6
罕,Hãn,ha:n4
羋,Mị,mi6
羌,Khương,xɯɤŋ1
肓,Hoang,hwan:ŋ1
肖,Tiếu,tiew5
肘,Trửu,tʂɯw3
肚,Đỗ,do4
肛,Giang,ʑa:ŋ1
肝,Can,ka:n1
良,Lương,lɯɤŋ1
芘,Tỉ,ti3
芘,Tí,ti5
芙,Phù,fu2
芟,Sam,ʂa:m1
芡,Khiếm,xiem5
芣,Phù,fu2
芥,Giới,ʑɤ:j5
芧,Trữ,tʂɯ4
芩,Cầm,kɤm2
芪,Kì,ki2
芫,Nguyên,ŋwien1
芬,Phân,fɤn1
芭,Ba,ba:1
芮,Nhuế,ɲwe5
芰,Kị,ki6
花,Hoa,hwa:1
芳,Phương,fɯɤŋ1
芷,Chỉ,tʂi3
芸,Vân,vɤn1
芹,Cần,kɤn2
芼,Mạo,ma:w6
芽,Nha,ɲa:1
芾,Phất,fɤt7
苡,Dĩ,zi4
苣,Cự,kɯ6
見,Kiến,kien5
角,Giác,ʑa:k7
言,Ngôn,ŋon1
谷,Cốc,kok7
豆,Đậu,dɤw6
豕,Thỉ,t'i3
豸,Trại,tʂa:j6
豸,Trĩ,tʂi4
貝,Bối,boj5
赤,Xích,siʧ7
走,Tẩu,tɤw3
足,Túc,tuk7
身,Thân,t'ɤn1
車,Xa,sa:1
辛,Tân,tɤn1
辰,Thần,t'ɤn2
辵,Xước,sɯɤk7
迍,Truân,tʂwɤn1
迎,Nghênh,ŋeɲ1
迎,Nghịnh,ŋiɲ6
近,Cận,kɤn6
迒,Hàng,ha:ŋ2
迓,Nhạ,ɲa:6
返,Phản,fa:n3
迕,Ngỗ,ŋo4
邑,Ấp,ɤp7
邯,Hàm,ha:m2
邰,Thai,t'a:j1
邱,Khâu,xɤw1
邲,Bật,bɤt8
邳,Bi,bi1
邵,Thiệu,t'iew6
邶,Bội,boj6
邸,Để,de3
邹,Trâu,tʂɤw1
酉,Dậu,zɤw6
釆,Biện,bien6
里,Lí,li5
阸,Ách,a:ʧ7
阻,Trở,tʂɤ:3
阼,Tộ,to6
阽,Diêm,ziem1
阿,A,a:1
陀,Đà,da:2
陂,Bi,bi1
陂,Bí,bi5
附,Phụ,fu6
並,Tịnh,tiɲ6
乖,Quai,kwa:j1
乳,Nhũ,ɲu4
事,Sự,ʂɯ6
些,Ta,ta:1
亞,Á,a:5
亟,Khí,xi5
亟,Cức,kɯk7
享,Hưởng,hɯɤŋ3
京,Kinh,kiɲ1
佩,Bội,boj6
佯,Dương,zɯɤŋ1
佰,Bách,ba:ʧ7
佳,Giai,ʑa:j1
佶,Cát,ka:t7
佺,Thuyên,t'wien1
佻,Điêu,diew1
佼,Giảo,ʑa:w3
佽,Thứ,t'ɯ5
佾,Dật,zɤt8
使,Sử,ʂɯ3
使,Sứ,ʂɯ5
侁,Sân,ʂɤn1
侃,Khản,xa:n3
侄,Chất,tʂɤt7
來,Lai,la:j1
侈,Xỉ,si3
例,Lệ,le6
侍,Thị,t'i6
侏,Chu,tʂu1
侑,Hựu,hɯw6
侔,Mâu,mɤw1
侖,Lôn,lon1
侗,Đồng,doŋ2
侗,Thống,t'oŋ5
侘,Sá,ʂa:5
侚,Tuẫn,twɤn4
供,Cung,kuŋ1
依,Y,i1
兒,Nhi,ɲi1
兔,Thố,t'o5
兩,Lưỡng,lɯɤŋ4
兩,Lượng,lɯɤŋ6
其,Kì,ki2
具,Cụ,ku6
典,Điển,dien3
冽,Liệt,liet8
凭,Bằng,baŋ2
函,Hàm,ha:m2
刮,Quát,kwa:t7
到,Đáo,da:w5
刱,Sáng,ʂa:ŋ5
刲,Khuê,xwe1
刳,Khô,ko1
刴,Đóa,dwa:5
刵,Nhĩ,ɲi4
制,Chế,tʂe5
刷,Loát,lwa:t7
券,Khoán,xwa:n5
刺,Thứ,t'ɯ5
刺,Thích,t'iʧ7
刻,Khắc,xak7
効,Hiệu,hiew6
劻,Khuông,xuoŋ1
劼,Cật,kɤt8
劾,Hặc,hak8
势,Thế,t'e5
匊,Cúc,kuk7
卑,Ti,ti1
卒,Tốt,tot7
卓,Trác,tʂa:k7
協,Hiệp,hiep8
卦,Quái,kwa:j5
卷,Quyển,kwien3
卹,Tuất,twɤt7
