汉字,漢越語,IPA
疵,Tì,ti2
痊,Thuyên,t'wien1
痌,Đồng,doŋ2
痍,Di,zi1
痎,Giai,ʑa:j1
痏,Vị,vi6
痔,Trĩ,tʂi4
痕,Ngân,ŋɤn1
皎,Kiểu,kiew3
皐,Cao,ka:w1
盒,Hạp,ha:p8
盔,Khôi,xoj1
盛,Thịnh,t'iɲ6
眥,Tí,ti5
眯,Mị,mi6
眱,Di,zi1
眴,Thuấn,t'wɤn5
眵,Si,ʂi1
眶,Khuông,xuoŋ1
眷,Quyến,kwien5
眸,Mâu,mɤw1
眺,Thiếu,t'iew5
眼,Nhãn,ɲa:n4
眽,Mạch,ma:ʧ8
眾,Chúng,tʂuŋ5
砦,Trại,tʂa:j6
硃,Chu,tʂu1
硇,Nao,na:w1
硎,Hình,hiɲ2
硐,Đồng,doŋ2
票,Phiếu,fiew5
祭,Tế,te5
祭,Sái,ʂa:j5
祲,Tẩm,tɤm3
祴,Cai,ka:j1
秸,Kiết,kiet7
移,Di,zi1
窑,Diêu,ziew1
窒,Trất,tʂɤt7
窓,Song,ʂɔŋ1
窔,Yểu,iew3
窕,Điệu,diew6
竟,Cánh,ka:ɲ5
章,Chương,tʂɯɤŋ1
竫,Tĩnh,tiɲ4
笘,Thiêm,t'iem1
笙,Sanh,ʂa:ɲ1
笛,Địch,diʧ8
笞,Si,ʂi1
笠,Lạp,la:p8
笥,Tứ,tɯ5
符,Phù,fu2
笨,Bổn,bon3
笪,Đát,da:t7
第,Đệ,de6
笱,Cẩu,kɤw3
笳,Già,ʑa:2
笵,Phạm,fa:m6
筇,Cung,kuŋ1
粒,Lạp,la:p8
粕,Phách,fa:ʧ7
粗,Thô,t'o1
粘,Niêm,niem1
紬,Trừu,tʂɯw2
紮,Trát,tʂa:t7
累,Lụy,lwi6
累,Lũy,lwi4
細,Tế,te5
紱,Phất,fɤt7
紲,Tiết,tiet7
紳,Thân,t'ɤn1
紵,Trữ,tʂɯ4
紹,Thiệu,t'iew6
紺,Cám,ka:m5
紼,Phất,fɤt7
紾,Chẩn,tʂɤn3
紾,Diễn,zien4
紿,Đãi,da:j4
絀,Truất,tʂwɤt7
絁,Thi,t'i1
終,Chung,tʂuŋ1
絃,Huyền,hwien2
組,Tổ,to3
絅,Quýnh,kwiɲ5
絆,Bán,ba:n5
缽,Bát,ba:t7
罣,Quái,kwa:j5
羚,Linh,liɲ1
羜,Trữ,tʂɯ4
羝,Đê,de1
翊,Dực,zɯk8
翌,Dực,zɯk8
翎,Linh,liɲ1
習,Tập,tɤp8
耚,Bà,ba:2
耜,Cử,kɯ3
聃,Đam,da:m1
聆,Linh,liɲ1
聊,Liêu,liew1
脖,Bột,bot8
脗,Vẫn,vɤn4
脘,Quản,kwa:n3
脚,Cước,kɯɤk7
脛,Hĩnh,hiɲ4
脝,Hanh,ha:ɲ1
脞,Tỏa,twa:3
脣,Thần,t'ɤn2
脤,Thận,t'ɤn6
脧,Tuyên,twien1
脧,Thôi,t'oj1
脫,Thoát,t'wa:t7
脬,Phao,fa:w1
脯,Bô,bo1
脰,Đậu,dɤw6
舂,Thung,t'uŋ1
舲,Linh,liɲ1
舳,Trục,tʂuk8
舴,Trách,tʂa:ʧ7
舵,Đả,da:3
舶,Bạc,ba:k8
舷,Huyền,hwien2
舸,Khả,xa:3
船,Thuyền,t'wien2
艴,Phật,fɤt8
菀,Uyển,wien3
菁,Tinh,tiɲ1
菅,Gian,ʑa:n1
菉,Lục,luk8
菊,Cúc,kuk7
菌,Khuẩn,xwɤn3
菓,Quả,qwa:3
菔,Bặc,bak8
菖,Xương,sɯɤŋ1
菘,Tùng,tuŋ2
菜,Thái,t'a:j5
菟,Thố,t'o5
菤,Quyển,kwien3
菩,Bồ,bo2
菪,Đãng,da:ŋ4
菰,Cô,ko1
菱,Lăng,laŋ1
菲,Phi,fi1
菲,Phỉ,fi3
菸,Ư,ɯ1
菹,Trư,tʂɯ1
菼,Thảm,t'a:m3
菽,Thục,t'uk8
菾,Điềm,diem2
萁,Ki,ki1
萃,Tụy,twi6
萄,Đào,da:w2
萆,Tì,ti2
萇,Trường,tʂɯɤŋ2
萉,Phì,fi2
萉,Phí,fi5
萊,Lai,la:j1
萋,Thê,t'e1
萌,Manh,ma:ɲ1
萍,Bình,biɲ2
萎,Nuy,nwi1
萏,Đạm,da:m6
萐,Tiệp,tiep8
萑,Hoàn,hwa:n2
萸,Du,zu1
著,Trứ,tʂɯ5
著,Trước,tʂɯɤk7
處,Xử,sɯ3
處,Xứ,sɯ5
虖,Hô,ho1
虙,Mật,mɤt8
蚯,Khâu,xɤw1
蚰,Du,zu1
蚱,Trách,tʂa:ʧ7
蚳,Chỉ,tʂi3
蚶,Ham,ha:m1
蚺,Nhiêm,ɲiem1
蚿,Huyền,hwien2
蛀,Chú,tʂu5
蛄,Cô,ko1
蛆,Thư,t'ɯ1
蛇,Di,zi1
蛇,Xà,sa:2
蛉,Linh,liɲ1
蛋,Đản,da:n3
衅,Hấn,hɤn5
衒,Huyễn,hwien4
術,Thuật,t'wɤt8
袈,Ca,ka:1
袋,Đại,da:j6
袌,Bão,ba:w4
袞,Cổn,kon3
袠,Trật,tʂɤt8
袤,Mậu,mɤw6
袴,Khố,ko5
袵,Nhẫm,ɲɤm4
袷,Giáp,ʑa:p7
袷,Kiếp,kiep7
袺,Kết,ket7
袽,Như,ɲɯ1
袿,Khuê,xwe1
裀,Nhân,ɲɤn1
規,Quy,kwi1
覓,Mịch,miʧ8
視,Thị,t'i6
觖,Quyết,kwiet7
訛,Ngoa,ŋwa:1
訝,Nhạ,ɲa:6
訟,Tụng,tuŋ6
訢,Hi,hi1
訢,Hân,hɤn1
訣,Quyết,kwiet7
訥,Nột,not8
訩,Hung,huŋ1
訪,Phóng,fɔŋ5
設,Thiết,t'iet7
許,Hứa,hɯɤ5
詎,Cự,kɯ6
豉,Thị,t'i6
豚,Đồn,don2
豝,Ba,ba:1
象,Tượng,tɯɤŋ6
貧,Bần,bɤn2
貨,Hóa,hwa:5
販,Phiến,fien5
貪,Tham,t'a:m1
貫,Quán,kwa:n5
責,Trách,tʂa:ʧ7
貶,Biếm,biem5
赦,Xá,sa:5
赧,Noản,nwa:n3
趹,Quyết,kwiet7
趺,Phu,fu1
趼,Nghiễn,ŋien4
趾,Chỉ,tʂi3
跁,Bả,ba:3
跂,Kì,ki2
距,Cự,kɯ6
軛,Ách,a:ʧ7
軟,Nhuyễn,ɲwien4
逬,Bính,biɲ5
逭,Hoán,hwa:n5
逮,Đãi,da:j4
逯,Lục,luk8
進,Tiến,tien5
逴,Trác,tʂa:k7
逴,Sước,ʂɯɤk7
逵,Quỳ,kwi2
逶,Uy,wi1
逸,Dật,zɤt8
過,Quá,qwa:5
郾,Yển,ien3
郿,Mi,mi1
鄂,Ngạc,ŋa:k8
鄆,Vận,vɤn6
鄉,Hương,hɯɤŋ1
酖,Đam,da:m1
酗,Húng,huŋ5
野,Dã,za:4
釣,Điếu,diew5
釦,Khẩu,xɤw3
釧,Xuyến,swien5
釬,Hạn,ha:n6
釭,Công,koŋ1
釭,Cang,ka:ŋ1
釵,Xoa,swa:1
閈,Hãn,ha:n4
閉,Bế,be5
陻,Nhân,ɲɤn1
陽,Dương,zɯɤŋ1
陿,Hiệp,hiep8
隃,Du,zu1
隄,Đê,de1
隄,Đê,de1
隅,Ngung,ŋuŋ1
隆,Long,lɔŋ1
隈,Ôi,oj1
隉,Niết,niet7
隊,Đội,doj6
隋,Tùy,twi2
隍,Hoàng,hwan:ŋ2
階,Giai,ʑa:j1
随,Tùy,twi2
隗,Ngôi,ŋoj1
雀,Tước,tɯɤk7
雩,Vu,vu1
雩,Vu,vu1
雪,Tuyết,twiet7
頂,Đỉnh,diɲ5
頃,Khoảnh,xwa:ɲ3
飥,Thác,t'a:k7
馗,Quỳ,kwi2
魚,Ngư,ŋɯ1
鳥,Điểu,diew3
鹵,Lỗ,lo4
鹿,Lộc,lok8
麥,Mạch,ma:ʧ8
麻,Ma,ma:1
黃,Hoàng,hwan:ŋ2
傅,Phó,fɔ5
傍,Bàng,ba:ŋ2
傎,Điên,dien1
傑,Kiệt,kiet8
傒,Hề,he2
傔,Khiểm,xiem3
傖,Sanh,ʂa:ɲ1
傘,Tản,ta:n3
備,Bị,bi6
傚,Hiệu,hiew6
傲,Ngạo,ŋa:w6
凓,Lật,lɤt8
凔,Sương,ʂɯɤŋ1
凱,Khải,xa:j3
剩,Thặng,t'aŋ6
割,Cát,ka:t7
剴,Cai,ka:j1
創,Sáng,ʂa:ŋ5
創,Sang,ʂa:ŋ1
勛,Huân,hwɤn1
勝,Thắng,t'aŋ5
勝,Thăng,t'aŋ1
勞,Lao,la:w1
勞,Lạo,la:w6
募,Mộ,mo6
博,Bác,ba:k7
厤,Lịch,liʧ8
厥,Quyết,kwiet7
啻,Thí,t'i5
啼,Đề,de2
啾,Thu,t'u1
喀,Khách,xa:ʧ7
喁,Ngung,ŋuŋ1
喁,Ngu,ŋu1
喃,Nam,na:m1
善,Thiện,t'ien6
喈,Dê,ze1
喉,Hầu,hɤw2
喊,Hảm,ha:m3
喋,Điệp,diep8
喑,Âm,ɤm1
喔,Ác,a:k7
喘,Suyễn,ʂwien4
喙,Uế,we5
喚,Hoán,hwa:n5
喜,Hỉ,hi3
喝,Hát,ha:t7
喟,Vị,vi6
喣,Hú,hu5
喤,Hoàng,hwan:ŋ2
喧,Huyên,hwien1
喪,Tang,ta:ŋ1
喪,Táng,ta:ŋ5
喫,Khiết,xiep7
喬,Kiều,kiew2
喭,Ngạn,ŋa:n6
單,Đan,da:n1
單,Thiền,t'ien2
單,Thiện,t'ien6
喻,Dụ,zu6
嗟,Ta,ta:1
嗢,Ốt,ot7
嘅,Khái,xa:j5
圌,Thùy,t'wi2
圍,Vi,vi1
堙,Nhân,ɲɤn1
堞,Điệp,diep8
堠,Hậu,hɤw6
堡,Bảo,ba:w3
堤,Đê,de1
堦,Giai,ʑa:j1
堪,Kham,xa:m1
堯,Nghiêu,ŋiew1
堰,Yển,ien3
報,Báo,ba:w5
場,Trường,tʂɯɤŋ2
塊,Khối,xoj5
塔,Tháp,t'a:p7
壹,Nhất,ɲɤt7
壺,Hồ,ho2
壻,Tế,te5
奠,Điện,dien6
奡,Ngạo,ŋa:w6
婣,Nhân,ɲɤn1
婺,Vụ,vu6
媒,Môi,moj1
媚,Mị,mi6
媛,Viên,vien1
媛,Viện,vien6
媟,Tiết,tiet7
媢,Mạo,ma:w6
媯,Quy,kwi1
媿,Quý,kwi5
嫂,Tẩu,tɤw3
孱,Sàn,ʂa:n2
孳,Tư,tɯ1
富,Phú,fu5
寐,Mị,mi6
寒,Hàn,ha:n2
寓,Ngụ,ŋu6
寔,Thật,t'ɤt8
尊,Tôn,ton1
尋,Tầm,tɤm2
就,Tựu,tɯw6
崱,Trắc,tʂak7
崴,Uy,wi1
崺,Dĩ,zi4
崽,Tể,te3
嵇,Kê,ke1
嵋,Mi,mi1
嵌,Khảm,xa:m3
嵎,Ngung,ŋuŋ1
嵏,Tông,toŋ1
嵐,Lam,la:m1
嵒,Nham,ɲa:m1
嵫,Tư,tɯ1
嵬,Ngôi,ŋoj1
嵯,Tha,t'a:1
巽,Tốn,ton5
帽,Mạo,ma:w6
幀,Tránh,tʂa:ɲ5
幃,Vi,vi1
幄,Ác,a:k7
幅,Phúc,fuk7
幾,Cơ,kɤ:1
幾,Kỉ,ki3
幾,Kí,ki5
廀,Sưu,ʂɯw1
廁,Xí,si5
廂,Sương,ʂɯɤŋ1
廄,Cứu,kɯw5
廋,Sưu,ʂɯw1
弼,Bật,bɤt8
彘,Trệ,tʂe6
彭,Bành,ba:ɲ2
御,Ngự,ŋɯ6
徧,Biến,bien5
徨,Hoàng,hwan:ŋ2
復,Phú,fu5
復,Phúc,fuk7
循,Tuần,twɤn2
悲,Bi,bi1
悶,Muộn,muon6
惄,Nịch,niʧ8
惎,Kị,ki6
惑,Hoặc,hwak8
惠,Huệ,hwe6
惡,Ác,a:k7
惡,Ố,o5
惢,Nhị,ɲi6
惪,Đức,dɯk7
惰,Nọa,nwa:6
惱,Não,na:w4
惲,Uẩn,wɤn3
惴,Chúy,tʂwi5
惶,Hoàng,hwan:ŋ2
惸,Quỳnh,kwiɲ2
惹,Nhạ,ɲa:6
惺,Tinh,tiɲ1
惻,Trắc,tʂak7
愀,Thiểu,t'iew3
愉,Du,zu1
愊,Phức,fɯk7
愎,Phức,fɯk7
愒,Khái,xa:j5
愔,Âm,ɤm1
愕,Ngạc,ŋa:k8
愜,Thiếp,t'iep7
愠,Uấn,wɤn5
愧,Quý,kwi5
慌,Hoảng,hwan:ŋ3
慨,Khái,xa:j5
戟,Kích,kiʧ7
戡,Kham,xa:m1
戢,Tập,tɤp8
扉,Phi,fi1
掌,Chưởng,tʂɯɤŋ3
掣,Xế,se5
掣,Xiết,siet7
掾,Duyện,zwien6
揀,Giản,ʑa:n3
揃,Tiễn,tien4
揄,Du,zu1
揆,Quỹ,kwi4
揉,Nhu,ɲu1
揌,Tai,ta:j1
揎,Tuyên,twien1
描,Miêu,miew1
提,Thì,t'i2
提,Đề,de2
插,Sáp,ʂa:p7
揔,Tổng,toŋ3
揕,Chấm,tʂɤm5
揖,Ấp,ɤp7
揗,Tuần,twɤn2
揚,Dương,zɯɤŋ1
換,Hoán,hwa:n5
揜,Yểm,iem3
揞,Yêm,iem1
揠,Yết,iet7
握,Ác,a:k7
揢,Khách,xa:ʧ7
揣,Sủy,ʂwi3
揩,Khai,xa:j1
揭,Yết,iet7
揮,Huy,hwi1
揲,Thiệt,t'iet8
揲,Diệp,ziep8
揲,Điệp,diep8
援,Viên,vien1
援,Viện,vien6
搓,Tha,t'a:1
搔,Tao,ta:w1
搜,Sưu,ʂɯw1
搥,Đôi,doj1
搭,Đáp,da:p7
搰,Hột,hot8
摒,Bính,biɲ5
攲,Khi,xi1
敞,Sưởng,ʂɯɤŋ3
散,Tản,ta:n3
散,Tán,ta:n5
敦,Đôi,doj1
敦,Đôn,don1
敦,Độn,don6
敬,Kính,kiɲ5
斌,Bân,bɤn1
斐,Phỉ,fi3
斑,Ban,ba:n1
斝,Giả,ʑa:3
斮,Trác,tʂa:k7
斯,Tư,tɯ1
旐,Triệu,tʂiew6
晬,Tối,toj5
普,Phổ,fo3
景,Cảnh,ka:ɲ3
晴,Tình,tiɲ2
晶,Tinh,tiɲ1
晷,Quỹ,kwi4
智,Trí,tʂi5
晻,Yểm,iem3
晻,Yểm,iem3
暎,Ánh,a:ɲ5
暑,Thử,t'ɯ3
曾,Tăng,taŋ1
曾,Tằng,taŋ2
替,Thế,t'e5
最,Tối,toj5
朝,Triêu,tʂiew1
朝,Triều,tʂiew2
期,Ki,ki1
期,Kì,ki2
棃,Lê,le1
棄,Khí,xi5
棉,Miên,mien1
棋,Kì,ki2
棍,Côn,kon1
棐,Phỉ,fi3
棒,Bổng,boŋ3
棖,Tranh,tʂa:ɲ1
棗,Tảo,ta:w3
棘,Cức,kɯk7
棚,Bằng,baŋ2
棟,Đống,doŋ5
棠,Đường,dɯɤŋ2
棣,Đệ,de6
棧,Sạn,ʂa:n6
棨,Khể,xe3
棫,Vực,vɯk8
棬,Khuyên,xwien1
森,Sâm,ʂɤm1
棱,Lăng,laŋ1
棲,Thê,t'e1
棵,Khỏa,xwa:3
棹,Trạo,tʂa:w6
棺,Quan,kwa:n1
棺,Quán,kwa:n5
棼,Phần,fɤn2
椀,Oản,wa:n3
椁,Quách,kwa:ʧ7
椅,Y,i1
椅,Ỷ,i3
椇,Củ,ku3
植,Thực,t'ɯk8
椎,Truy,tʂwi1
椏,Nha,ɲa:1
椐,Cư,kɯ1
椒,Tiêu,tiew1
椓,Trạc,tʂa:k8
椰,Gia,ʑa:1
楛,Khổ,ko3
楮,Chử,tʂɯ3
極,Cực,kɯk8
榔,Lang,la:ŋ1
欹,Y,i1
欺,Khi,xi1
欻,Hốt,hot7
欽,Khâm,xɤm1
款,Khoản,xwa:n3
欿,Khảm,xa:m3
殖,Thực,t'ɯk8
殘,Tàn,ta:n2
殛,Cức,kɯk7
殽,Hào,ha:w2
毯,Thảm,t'a:m3
毳,Thuế,t'we5
氮,Đạm,da:m6
淵,Uyên,wien1
淼,Miểu,miew3
渙,Hoán,hwa:n5
減,Giảm,ʑa:m3
渝,Du,zu1
渟,Đình,diɲ2
渡,Độ,do6
渣,Tra,tʂa1
渤,Bột,bot8
渥,Ác,a:k7
測,Trắc,tʂak7
渭,Vị,vi6
港,Cảng,ka:ŋ3
渲,Tuyển,twien3
渴,Khát,xa:t7
渴,Kiệt,kiet8
游,Du,zu1
渺,Diểu,ziew3
渻,Tỉnh,tiɲ3
渻,Tỉnh,tiɲ3
渼,Mĩ,mi4
渾,Hồn,hon2
湃,Phái,fa:j5
湄,Mi,mi1
湅,Luyện,lwien6
湊,Thấu,t'ɤw5
湌,Xan,sa:n1
湍,Thoan,t'wa:n1
湎,Miện,mien6
湑,Tư,tɯ1
湓,Bồn,bon2
湔,Tiên,tien1
湖,Hồ,ho2
湘,Tương,tɯɤŋ1
湛,Đam,da:m1
湛,Trạm,tʂa:m6
湜,Thực,t'ɯk8
湞,Trinh,tʂiɲ1
湟,Hoàng,hwan:ŋ2
湩,Chúng,tʂuŋ5
湫,Tưu,tɯw1
湫,Tiểu,tiew3
湮,Yên,ien1
湯,Sương,ʂɯɤŋ1
湯,Thang,t'a:ŋ1
湯,Thãng,t'a:ŋ4
湲,Viên,vien1
溉,Cái,ka:j5
溲,Sưu,ʂɯw1
溲,Sửu,ʂɯw3
滁,Trừ,tʂɯ2
滋,Tư,tɯ1
滑,Cốt,kot7
滑,Hoạt,hwa:t8
焚,Phần,fɤn2
焜,Hỗn,hon4
焠,Thối,t'oj5
無,Vô,vo1
焦,Tiêu,tiew1
焮,Hân,hɤn1
焰,Diệm,ziem6
焱,Diễm,ziem4
然,Nhiên,ɲien1
煮,Chử,tʂɯ3
為,Vi,vi1
為,Vị,vi6
爺,Gia,ʑa:1
牋,Tiên,tien1
牌,Bài,ba:j2
牚,Xanh,sa:ɲ1
犀,Tê,te1
犂,Lê,le1
犇,Bôn,bon1
犍,Kiền,kien2
猢,Hồ,ho2
猥,Ổi,oj3
猩,Tinh,tiɲ1
猱,Nhu,ɲu1
猴,Hầu,hɤw2
猶,Do,zɔ1
猶,Dứu,zɯw5
猾,Hoạt,hwa:t8
獀,Sưu,ʂɯw1
珷,Vũ,vu4
琖,Trản,tʂa:n3
琚,Cư,kɯ1
琛,Sâm,ʂɤm1
琢,Trác,tʂa:k7
琤,Tranh,tʂa:ɲ1
琥,Hổ,ho3
琦,Kì,ki2
琨,Côn,kon1
琪,Kì,ki2
琫,Bổng,boŋ3
琬,Uyển,wien3
琮,Tông,toŋ1
琯,Quản,kwa:n3
琰,Diễm,ziem4
琲,Bội,boj6
琳,Lâm,lɤm1
琴,Cầm,kɤm2
琵,Tì,ti2
琶,Bà,ba:2
瑛,Anh,a:ɲ1
瑯,Lang,la:ŋ1
瓿,Phẫu,fɤw4
甥,Sanh,ʂa:ɲ1
甯,Nịnh,niɲ6
番,Phiên,fien1
番,Phan,fa:n1
畫,Họa,hwa:6
畫,Hoạch,hwa:ʧ8
畬,Dư,zɯ1
畮,Mẫu,mɤw4
畯,Tuấn,twɤn5
疏,Sơ,ʂɤ:1
疏,Sớ,ʂɤ:5
痗,Mội,moj6
痙,Kinh,kiɲ1
痛,Thống,t'oŋ5
痞,Bĩ,bi4
痟,Tiêu,tiew1
痠,Toan,twa:n1
痡,Phô,fo1
痢,Lị,li6
痣,Chí,tʂi5
痤,Tọa,twa:6
痾,Kha,xa:1
登,Đăng,daŋ1
發,Phát,fa:t7
皓,Hạo,ha:w6
皖,Hoàn,hwa:n2
皴,Thuân,t'wɤn1
盜,Đạo,da:w6
睂,Mi,mi1
睅,Hạn,ha:n6
睆,Hoản,hwa:n3
睇,Thê,t'e1
睊,Quyến,kwien5
睍,Hiển,hien3
睎,Hi,hi1
矞,Duật,zuɤt8
矟,Sác,ʂa:k7
矬,Tọa,twa:6
短,Đoản,dwa:n3
硜,Khanh,xa:ɲ1
硝,Tiêu,tiew1
硨,Xa,sa:1
硫,Lưu,lɯw1
硬,Ngạnh,ŋa:ɲ6
硯,Nghiễn,ŋien4
祺,Kì,ki2
祼,Quán,kwa:n5
祿,Lộc,lok8
禍,Họa,hwa:6
禽,Cầm,kɤm2
稀,Hi,hi1
稂,Lang,la:ŋ1
稃,Phù,fu2
稅,Thuế,t'we5
稈,Cán,ka:n5
稊,Đề,de2
程,Trình,tʂiɲ2
稌,Đồ,do2
稍,Sao,ʂa:w1
窖,Diếu,ziew5
窗,Song,ʂɔŋ1
窘,Quẫn,kwɤn4
竢,Sĩ,ʂi4
竣,Thuân,t'wɤn1
童,Đồng,doŋ2
竦,Tủng,tuŋ3
筅,Tiển,tien3
筆,Bút,but7
等,Đẳng,daŋ3
筋,Cân,kɤn1
筌,Thuyên,t'wien1
筍,Tuẩn,twɤn3
筏,Phiệt,fiet8
筐,Khuông,xuoŋ1
筑,Trúc,tʂuk7
筒,Đồng,doŋ2
筓,Kê,ke1
答,Đáp,da:p7
策,Sách,ʂa:ʧ7
筥,Cử,kɯ3
筳,Đình,diɲ2
筵,Diên,zien1
粞,Tê,te1
粟,Túc,tuk7
粢,Tư,tɯ1
粥,Dục,zuk8
粥,Chúc,tʂuk7
紫,Tử,tɯ3
結,Kết,ket7
絕,Tuyệt,twiet8
絛,Thao,t'a:w1
絜,Khiết,xiep7
絜,Hiệt,hiet8
絝,Khố,ko5
絞,Giảo,ʑa:w3
絡,Lạc,la:k8
絢,Huyến,hwien5
給,Cấp,kɤp7
絨,Nhung,ɲuŋ1
絪,Nhân,ɲɤn1
絫,Lũy,lwi4
絮,Nhứ,ɲɯ5
絰,Điệt,diet8
統,Thống,t'oŋ5
絲,Ti,ti1
絳,Giáng,ʑa:ŋ5
缾,Bình,biɲ2
罥,Quyến,kwien5
罦,Phù,fu2
翔,Tường,tɯɤŋ2
翕,Hấp,hɤp7
翛,Tiêu,tiew1
耋,Điệt,diet8
聒,Quát,kwa:t7
胔,Tí,ti5
胾,Chí,tʂi5
脹,Trướng,tʂɯɤŋ5
脾,Tì,ti2
腆,Thiển,t'ien3
腋,Dịch,ziʧ8
腌,Yêm,iem1
腎,Thận,t'ɤn6
腑,Phủ,fu3
腓,Phì,fi2
腔,Xoang,swa:ŋ1
腕,Oản,wa:n3
腱,Kiện,kien6
腴,Du,zu1
舄,Tích,tiʧ7
舒,Thư,t'ɯ1
舜,Thuấn,t'wɤn5
艇,Đĩnh,diɲ4
萩,Thu,t'u1
萬,Vạn,va:n6
萱,Huyên,hwien1
萹,Phiên,fien1
萼,Ngạc,ŋa:k8
落,Lạc,la:k8
葆,Bảo,ba:w3
葉,Diệp,ziep8
葉,Diếp,ziep7
葑,Phong,fɔŋ1
葖,Đột,dot8
葘,Tai,ta:j1
葘,Truy,tʂwi1
葙,Tương,tɯɤŋ1
葚,Thậm,t'ɤm6
葛,Cát,ka:t7
董,Đổng,doŋ3
葦,Vĩ,vi4
葩,Ba,ba:1
葫,Hồ,ho2
葬,Táng,ta:ŋ5
葭,Gia,ʑa:1
葯,Ước,ɯɤk7
葱,Thông,t'oŋ1
葳,Uy,wi1
葵,Quỳ,kwi2
葶,Đình,diɲ2
葷,Huân,hwɤn1
葸,Tỉ,ti3
葹,Thi,t'i1
葺,Tập,tɤp8
蒂,Đế,de5
蒐,Sưu,ʂɯw1
蓇,Cốt,kot7
蓱,Bình,biɲ2
虛,Hư,hu1
蛑,Mâu,mɤw1
蛔,Hồi,hoj2
蛕,Hồi,hoj2
蛘,Dạng,za:ŋ6
蛙,Oa,wa:1
蛛,Chu,tʂu1
蛞,Khoát,xwa:t7
蛟,Giao,ʑa:w1
蛤,Cáp,ka:p7
蛩,Cung,kuŋ1
蛭,Điệt,diet8
蜑,Đản,da:n3
蜒,Diên,zien1
蜓,Đình,diɲ2
衆,Chúng,tʂuŋ5
衇,Mạch,ma:ʧ8
衕,Đồng,doŋ2
衖,Hạng,ha:ŋ6
街,Nhai,ɲa:j1
裁,Tài,ta:j2
裂,Liệt,liet8
裋,Thụ,t'u6
裎,Trình,tʂiɲ2
裒,Bầu,bɤw2
裕,Dụ,zu6
裙,Quần,kwɤn2
補,Bổ,bo3
覃,Đàm,da:m2
覘,Chiêm,tʂiem1
觚,Cô,ko1
觝,Để,de3
訴,Tố,to5
訶,Ha,ha:1
診,Chẩn,tʂɤn3
註,Chú,tʂu5
証,Chứng,tʂɯŋ5
詁,Cổ,ko3
詆,Để,de3
詈,Lị,li6
詐,Trá,tʂa5
詒,Di,zi1
詔,Chiếu,tʂiew5
評,Bình,biɲ2
詖,Bí,bi5
詗,Huýnh,hwiɲ5
詘,Truất,tʂwɤt7
詛,Trớ,tʂɤ:5
詞,Từ,tɯ2
詠,Vịnh,viɲ6
貂,Điêu,diew1
貯,Trữ,tʂɯ4
貰,Thế,t'e5
貳,Nhị,ɲi6
貴,Quý,kwi5
買,Mãi,ma:j4
貸,Thải,t'a:j3
貺,Huống,huoŋ5
費,Phí,fi5
貼,Thiếp,t'iep7
貽,Di,zi1
貿,Mậu,mɤw6
賀,Hạ,ha:6
賁,Phần,fɤn2
賁,Bôn,bon1
賁,Bí,bi5
赓,Canh,ka:ɲ1
趁,Sấn,ʂɤn5
趄,Thư,t'ɯ1
超,Siêu,ʂiew1
越,Việt,viet8
跅,Thác,t'a:k7
跋,Bạt,ba:t8
跌,Điệt,diet8
跎,Đà,da:2
跏,Già,ʑa:2
跑,Bào,ba:w2
跕,Thiếp,t'iep7
跖,Chích,tʂiʧ7
跗,Phụ,fu6
跚,San,ʂa:n1
跛,Bả,ba:3
跛,Bí,bi5
軨,Linh,liɲ1
軫,Chẩn,tʂɤn3
軱,Cô,ko1
軶,Ách,a:ʧ7
軸,Trục,tʂuk8
軹,Chỉ,tʂi3
軺,Diêu,ziew1
軻,Kha,xa:1
軼,Dật,zɤt8
軼,Điệt,diet8
辜,Cô,ko1
辝,Từ,tɯ2
逼,Bức,bɯk7
逾,Du,zu1
遁,Độn,don6
遂,Toại,twa:j6
遄,Thuyên,t'wien1
遇,Ngộ,ŋo6
遉,Trình,tʂiɲ2
遊,Du,zu1
運,Vận,vɤn6
遌,Ngạc,ŋa:k8
遍,Biến,bien5
遏,Át,a:t7
遐,Hà,ha:2
遑,Hoàng,hwan:ŋ2
遒,Tù,tu2
道,Đạo,da:w6
達,Đạt,da:t8
違,Vi,vi1
鄏,Nhục,ɲuk8
鄒,Trâu,tʂɤw1
鄔,Ổ,o3
鄖,Vân,vɤn1
酡,Đà,da:2
酢,Tạc,ta:k8
酣,Hàm,ha:m2
酤,Cô,ko1
酥,Tô,to1
釉,Dứu,zɯw5
量,Lương,lɯɤŋ1
量,Lượng,lɯɤŋ6
鈀,Ba,ba:1
鈇,Phu,fu1
鈉,Nột,not8
鈌,Quyết,kwiet7
鈍,Độn,don6
鈐,Kiềm,kiem2
鈔,Sao,ʂa:w1
鈕,Nữu,nɯw4
鈞,Quân,kwɤn1
鉅,Cự,kɯ6
開,Khai,xa:j1
閎,Hoành,hwa:ɲ2
閏,Nhuận,ɲwɤn6
閑,Nhàn,ɲa:n2
閒,Nhàn,ɲa:n2
閒,Gián,ʑa:n5
閔,Mẫn,mɤn4
隔,Cách,ka:ʧ7
隕,Vẫn,vɤn4
隖,Ổ,o3
隘,Ải,a:j3
隙,Khích,xiʧ7
雁,Nhạn,ɲa:n6
雄,Hùng,huŋ2
雅,Nhã,ɲa:4
集,Tập,tɤp8
雇,Cố,ko5
雋,Tuyển,twien3
雯,Văn,van1
雰,Phân,fɤn1
